Price,Close,High,Low,Open,Volume
Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Datetime,,,,,
2025-03-31 09:00:00+08:00,923.0,924.0,917.0,920.0,0
2025-03-31 10:00:00+08:00,920.0,924.0,919.0,923.0,8768119
2025-03-31 11:00:00+08:00,919.0,921.0,917.0,920.0,7261944
2025-03-31 12:00:00+08:00,918.0,919.0,917.0,918.0,4971496
2025-03-31 13:00:00+08:00,918.0,919.0,917.0,918.0,4927220
2025-04-01 09:00:00+08:00,932.0,936.0,925.0,929.0,0
2025-04-01 10:00:00+08:00,934.0,936.0,932.0,932.0,4320983
2025-04-01 11:00:00+08:00,937.0,938.0,934.0,935.0,3738832
2025-04-01 12:00:00+08:00,938.0,940.0,935.0,938.0,3779797
2025-04-01 13:00:00+08:00,942.0,946.0,938.0,938.0,4361224
2025-04-02 09:00:00+08:00,949.0,952.0,947.0,949.0,0
2025-04-02 10:00:00+08:00,945.0,950.0,943.0,950.0,3560493
2025-04-02 11:00:00+08:00,942.0,946.0,939.0,945.0,3450887
2025-04-02 12:00:00+08:00,940.0,943.0,938.0,942.0,3002066
2025-04-02 13:00:00+08:00,942.0,943.0,939.0,940.0,2467250
2025-04-07 09:00:00+08:00,848.0,848.0,848.0,848.0,0
2025-04-07 10:00:00+08:00,848.0,848.0,848.0,848.0,1640109
2025-04-07 11:00:00+08:00,848.0,848.0,848.0,848.0,867493
2025-04-07 12:00:00+08:00,848.0,848.0,848.0,848.0,750248
2025-04-07 13:00:00+08:00,848.0,848.0,848.0,848.0,655870
2025-04-08 09:00:00+08:00,820.0,843.0,797.0,797.0,38854954
2025-04-08 10:00:00+08:00,812.0,828.0,808.0,821.0,21262299
2025-04-08 11:00:00+08:00,809.0,813.0,805.0,812.0,11951480
2025-04-08 12:00:00+08:00,820.0,820.0,808.0,809.0,10355852
2025-04-08 13:00:00+08:00,817.0,826.0,816.0,820.0,8264332
2025-04-09 09:00:00+08:00,815.0,826.0,807.0,809.0,0
2025-04-09 10:00:00+08:00,803.0,816.0,802.0,814.0,16448809
2025-04-09 11:00:00+08:00,795.0,805.0,795.0,803.0,22661421
2025-04-09 12:00:00+08:00,793.0,799.0,780.0,795.0,21921702
2025-04-09 13:00:00+08:00,792.0,793.0,784.0,786.0,12205870
2025-04-10 09:00:00+08:00,863.0,863.0,863.0,863.0,0
2025-04-10 10:00:00+08:00,863.0,863.0,863.0,863.0,2166206
2025-04-10 11:00:00+08:00,863.0,863.0,863.0,863.0,621797
2025-04-10 12:00:00+08:00,863.0,863.0,863.0,863.0,766963
2025-04-10 13:00:00+08:00,863.0,863.0,863.0,863.0,205604
2025-04-11 09:00:00+08:00,865.0,866.0,836.0,848.0,17699520
2025-04-11 10:00:00+08:00,864.0,885.0,861.0,865.0,15643520
2025-04-11 11:00:00+08:00,878.0,879.0,864.0,864.0,6165363
2025-04-11 12:00:00+08:00,879.0,880.0,872.0,878.0,6969668
2025-04-11 13:00:00+08:00,884.0,885.0,878.0,879.0,5207406
2025-04-14 09:00:00+08:00,885.0,903.0,880.0,895.0,0
2025-04-14 10:00:00+08:00,887.0,891.0,882.0,885.0,8996497
2025-04-14 11:00:00+08:00,883.0,889.0,882.0,887.0,5184646
2025-04-14 12:00:00+08:00,870.0,883.0,870.0,883.0,10956934
2025-04-14 13:00:00+08:00,868.0,872.0,867.0,871.0,5782365
2025-04-15 09:00:00+08:00,871.0,878.0,865.0,874.0,0
2025-04-15 10:00:00+08:00,875.0,876.0,871.0,872.0,3549616
2025-04-15 11:00:00+08:00,878.0,879.0,874.0,876.0,3972393
2025-04-15 12:00:00+08:00,876.0,879.0,875.0,878.0,3381418
2025-04-15 13:00:00+08:00,878.0,879.0,876.0,877.0,2800210
2025-04-16 09:00:00+08:00,865.0,869.0,862.0,867.0,11435360
2025-04-16 10:00:00+08:00,853.0,865.0,852.0,865.0,8722270
2025-04-16 11:00:00+08:00,854.0,858.0,853.0,854.0,4347393
2025-04-16 12:00:00+08:00,856.0,857.0,853.0,854.0,7760195
2025-04-16 13:00:00+08:00,856.0,860.0,855.0,856.0,7575444
2025-04-17 09:00:00+08:00,845.0,855.0,842.0,849.0,0
2025-04-17 10:00:00+08:00,850.0,852.0,844.0,845.0,4072507
2025-04-17 11:00:00+08:00,851.0,856.0,850.0,851.0,4975436
2025-04-17 12:00:00+08:00,849.0,852.0,848.0,852.0,3112418
2025-04-17 13:00:00+08:00,851.0,852.0,849.0,849.0,3614312
2025-04-18 09:00:00+08:00,853.0,858.0,851.0,853.0,0
2025-04-18 10:00:00+08:00,855.0,856.0,852.0,853.0,2121439
2025-04-18 11:00:00+08:00,851.0,856.0,851.0,856.0,2388147
2025-04-18 12:00:00+08:00,851.0,852.0,850.0,852.0,2644944
2025-04-18 13:00:00+08:00,851.0,852.0,850.0,851.0,2326855
2025-04-21 09:00:00+08:00,837.0,847.0,832.0,844.0,0
2025-04-21 10:00:00+08:00,835.0,840.0,833.0,838.0,2718190
2025-04-21 11:00:00+08:00,835.0,836.0,833.0,835.0,1834577
2025-04-21 12:00:00+08:00,835.0,837.0,834.0,834.0,2379306
2025-04-21 13:00:00+08:00,834.0,836.0,833.0,834.0,2274240
2025-04-22 09:00:00+08:00,826.0,829.0,820.0,826.0,0
2025-04-22 10:00:00+08:00,822.0,828.0,822.0,826.0,3420338
2025-04-22 11:00:00+08:00,821.0,823.0,818.0,822.0,5696667
2025-04-22 12:00:00+08:00,821.0,822.0,820.0,821.0,2787564
2025-04-22 13:00:00+08:00,822.0,823.0,819.0,821.0,4277578
2025-04-23 09:00:00+08:00,853.0,857.0,848.0,853.0,0
2025-04-23 10:00:00+08:00,859.0,862.0,853.0,853.0,6668182
2025-04-23 11:00:00+08:00,863.0,863.0,859.0,860.0,3526583
2025-04-23 12:00:00+08:00,868.0,870.0,862.0,862.0,4847737
2025-04-23 13:00:00+08:00,866.0,870.0,865.0,868.0,2680148
2025-04-24 09:00:00+08:00,871.0,886.0,869.0,886.0,16893504
2025-04-24 10:00:00+08:00,866.0,873.0,866.0,871.0,3932833
2025-04-24 11:00:00+08:00,868.0,869.0,866.0,866.0,2327430
2025-04-24 12:00:00+08:00,861.0,870.0,859.0,868.0,4223198
2025-04-24 13:00:00+08:00,863.0,865.0,861.0,862.0,1466711
2025-04-25 09:00:00+08:00,893.0,901.0,891.0,900.0,0
2025-04-25 10:00:00+08:00,887.0,894.0,886.0,892.0,4416377
2025-04-25 11:00:00+08:00,889.0,891.0,887.0,887.0,3013156
2025-04-25 12:00:00+08:00,890.0,893.0,888.0,889.0,4060439
2025-04-25 13:00:00+08:00,888.0,890.0,887.0,889.0,1736059
2025-04-28 09:00:00+08:00,897.0,898.0,895.0,898.0,0
2025-04-28 10:00:00+08:00,894.0,897.0,893.0,897.0,2830558
2025-04-28 11:00:00+08:00,894.0,895.0,893.0,894.0,1351918
2025-04-28 12:00:00+08:00,895.0,896.0,894.0,894.0,2324385
2025-04-28 13:00:00+08:00,896.0,896.0,894.0,896.0,1839353
2025-04-29 09:00:00+08:00,894.0,897.0,893.0,897.0,0
2025-04-29 10:00:00+08:00,896.0,902.0,894.0,894.0,7833526
2025-04-29 11:00:00+08:00,897.0,900.0,895.0,897.0,2381237
2025-04-29 12:00:00+08:00,900.0,900.0,896.0,897.0,3032143
2025-04-29 13:00:00+08:00,900.0,901.0,899.0,899.0,3170568
2025-04-30 09:00:00+08:00,901.0,902.0,899.0,901.0,0
2025-04-30 10:00:00+08:00,903.0,908.0,900.0,900.0,6460236
2025-04-30 11:00:00+08:00,904.0,905.0,901.0,904.0,3100065
2025-04-30 12:00:00+08:00,905.0,905.0,902.0,905.0,3279566
2025-04-30 13:00:00+08:00,905.0,906.0,904.0,905.0,3165472
2025-05-02 09:00:00+08:00,934.0,940.0,932.0,938.0,0
2025-05-02 10:00:00+08:00,937.0,938.0,933.0,934.0,4530956
2025-05-02 11:00:00+08:00,939.0,940.0,936.0,937.0,4501052
2025-05-02 12:00:00+08:00,942.0,942.0,939.0,939.0,6334230
2025-05-02 13:00:00+08:00,945.0,945.0,941.0,941.0,4920011
2025-05-05 09:00:00+08:00,930.0,957.0,926.0,956.0,0
2025-05-05 10:00:00+08:00,929.0,932.0,923.0,930.0,10438701
2025-05-05 11:00:00+08:00,942.0,942.0,929.0,929.0,7500610
2025-05-05 12:00:00+08:00,938.0,945.0,938.0,941.0,5781353
2025-05-05 13:00:00+08:00,937.0,940.0,936.0,939.0,2689820
2025-05-06 09:00:00+08:00,925.0,927.0,916.0,916.0,0
2025-05-06 10:00:00+08:00,927.0,930.0,923.0,924.0,4912566
2025-05-06 11:00:00+08:00,928.0,930.0,925.0,928.0,3310541
2025-05-06 12:00:00+08:00,926.0,929.0,925.0,929.0,3707342
2025-05-06 13:00:00+08:00,924.0,927.0,922.0,927.0,3973937
2025-05-07 09:00:00+08:00,919.0,932.0,911.0,925.0,0
2025-05-07 10:00:00+08:00,917.0,921.0,916.0,918.0,3873182
2025-05-07 11:00:00+08:00,922.0,922.0,918.0,918.0,3302046
2025-05-07 12:00:00+08:00,921.0,925.0,921.0,921.0,3421277
2025-05-07 13:00:00+08:00,920.0,924.0,920.0,922.0,3315106
2025-05-08 09:00:00+08:00,928.0,936.0,928.0,933.0,0
2025-05-08 10:00:00+08:00,934.0,934.0,928.0,929.0,2552100
2025-05-08 11:00:00+08:00,936.0,939.0,933.0,934.0,4782437
2025-05-08 12:00:00+08:00,937.0,937.0,934.0,937.0,3182972
2025-05-08 13:00:00+08:00,933.0,938.0,932.0,937.0,2400898
